"Genes,Type"
"CRYGD,Down"
"SMIM10,Down"
"FAM83D,Down"
"GATA6,Down"
"EDN3,Down"
"STARD4,Down"
"ZNF804A,Down"
"MROH7,Down"
"SLC9B2,Down"
"PDE5A,Down"
"TRIM9,Down"
"APBA2,Down"
"ADA,Down"
"PPP1R14A,Down"
"GCK,Down"
"CKMT2,Down"
"PLPP7,Down"
"FLT3LG,Down"
"RSAD2,Down"
"P2RX7,Down"
"RBFOX3,Down"
"LRCH2,Down"
"RGN,Down"
"CCDC85A,Down"
"GSTM1,Down"
"STX2,Down"
"CH25H,Down"
"BEND6,Down"
"PRPH2,Down"
"B4GALT6,Down"
"STMN2,Down"
"NTNG2,Down"
"PLEKHA4,Down"
"SVIL,Down"
"CHGB,Down"
"CCDC178,Down"
"EDDM13,Down"
"CAMK4,Down"
"SCGB3A1,Down"
"NRXN3,Down"
"PTGFR,Down"
"FHL1,Down"
"VCAN,Down"
"SLC46A3,Down"
"MFAP4,Down"
"HMCN1,Down"
"PPP1R3C,Down"
"KANK2,Down"
"ANO4,Down"
"ADAMTS18,Down"
"TMLHE,Down"
"HHIPL2,Down"
"GEM,Down"
"ASB2,Down"
"S100A6,Down"
"SEMA3A,Down"
"EPHA7,Down"
"LIMS2,Down"
"PLCD4,Down"
"GPIHBP1,Down"
"ADGRL3,Down"
"SCARA5,Down"
"ADGRB2,Down"
"WNT4,Down"
"CDKL1,Down"
"FAM43B,Down"
"ACTC1,Down"
"PNMA2,Down"
"SULT1E1,Down"
"B3GALT2,Down"
"KCNQ5,Down"
"TEX26,Down"
"DKK1,Down"
"PPP1R14C,Down"
"PLN,Down"
"ZCCHC12,Down"
"SYNPO2,Down"
"NIPSNAP3B,Down"
"SCN2B,Down"
"ISL2,Down"
"PPARG,Down"
"ADA2,Down"
"FAM83B,Down"
"CAMK1D,Down"
"AHNAK2,Down"
"TMIE,Down"
"TENM2,Down"
"CSMD3,Down"
"SLFN13,Down"
"WIPF3,Down"
"PRG2,Down"
"ENPEP,Down"
"FAM228A,Down"
"ARSJ,Down"
"GDF10,Down"
"SYT1,Down"
"ARL9,Down"
"CPXM1,Down"
"C9ORF24,Down"
"WNT5A,Down"
"HOXD10,Down"
"NTRK1,Down"
"MYH6,Down"
"RSPH9,Down"
"TCEAL7,Down"
"NIPAL4,Down"
"CADPS,Down"
"EPB41L3,Down"
"CYP3A5,Down"
"TMEM139,Down"
"COL17A1,Down"
"SULF1,Down"
"PRIMA1,Down"
"FAM163A,Down"
"TIMP4,Down"
"CD40LG,Down"
"ESM1,Down"
"C21ORF62,Down"
"IFI44L,Down"
"KIAA0408,Down"
"ZNF660,Down"
"TPSB2,Down"
"IP6K3,Down"
"GCNT4,Down"
"CKM,Down"
"NR4A3,Down"
"WNT11,Down"
"APLP1,Down"
"LRRC75A,Down"
"KANK4,Down"
"DNAJB4,Down"
"CAV3,Down"
"VTN,Down"
"C4ORF54,Down"
"SERPINB5,Down"
"JAKMIP2,Down"
"CDH17,Down"
"DPP10,Down"
"SPAG17,Down"
"NPPC,Down"
"IL33,Down"
"CDH10,Down"
"NMUR1,Down"
"NDC80,Down"
"RYR2,Down"
"PARM1,Down"
"GPR84,Down"
"TMEM200A,Down"
"CRNN,Down"
"ADH1B,Down"
"CHRDL2,Down"
"ANKRD34C,Down"
"VPREB3,Down"
"CCDC190,Down"
"SUSD2,Down"
"ZSCAN4,Down"
"HOXD11,Down"
"SLC38A4,Down"
"VAV3,Down"
"HIGD1B,Down"
"NAT2,Down"
"MYOC,Down"
"P2RY13,Down"
"CAPZA3,Down"
"ITPKA,Down"
"VSTM2A,Down"
"TRPC4,Down"
"ARNTL2,Down"
"PNMT,Down"
"IL12A,Down"
"TULP2,Down"
"CD3G,Down"
"GGT5,Down"
"ADRA1D,Down"
"LRP1B,Down"
"KCNE5,Down"
"RADX,Down"
"CCN1,Down"
"SSC5D,Down"
"DNAJB5,Down"
"SRL,Down"
"GPHA2,Down"
"PDYN,Down"
"CPA3,Down"
"THSD7A,Down"
"ZNF891,Down"
"CPNE6,Down"
"C3,Down"
"SKIDA1,Down"
"CCDC102B,Down"
"MAB21L1,Down"
"FOXE1,Down"
"SLC35F4,Down"
"SYN3,Down"
"CLCA2,Down"
"VSNL1,Down"
